country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Andorra,AD,AND,20,Proportion of health care facilities with basic hygiene services,2000,100,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with basic hygiene services,2001,100,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with basic hygiene services,2002,100,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with basic hygiene services,2003,100,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with basic hygiene services,2004,100,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with basic hygiene services,2005,100,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with basic hygiene services,2006,100,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with basic hygiene services,2007,100,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with basic hygiene services,2008,100,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with basic hygiene services,2009,100,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with basic hygiene services,2010,100,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with basic hygiene services,2011,100,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with basic hygiene services,2012,100,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with basic hygiene services,2013,100,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with basic hygiene services,2014,100,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with basic hygiene services,2015,100,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with basic hygiene services,2016,100,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with basic hygiene services,2017,100,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with basic hygiene services,2018,100,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with basic hygiene services,2019,100,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with basic hygiene services,2020,100,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with basic hygiene services,2021,100,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with basic hygiene services,2022,100,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of health care facilities with basic hygiene services,2023,100,Total,,%,,,,Total
Armenia,AM,ARM,51,Proportion of health care facilities with basic hygiene services,2014,69,Total,,%,,,,Total
Armenia,AM,ARM,51,Proportion of health care facilities with basic hygiene services,2015,69,Total,,%,,,,Total
Armenia,AM,ARM,51,Proportion of health care facilities with basic hygiene services,2016,69,Total,,%,,,,Total
Armenia,AM,ARM,51,Proportion of health care facilities with basic hygiene services,2017,69,Total,,%,,,,Total
Armenia,AM,ARM,51,Proportion of health care facilities with basic hygiene services,2018,69,Total,,%,,,,Total
Armenia,AM,ARM,51,Proportion of health care facilities with basic hygiene services,2019,69,Total,,%,,,,Total
Armenia,AM,ARM,51,Proportion of health care facilities with basic hygiene services,2020,69,Total,,%,,,,Total
Armenia,AM,ARM,51,Proportion of health care facilities with basic hygiene services,2021,69,Total,,%,,,,Total
Armenia,AM,ARM,51,Proportion of health care facilities with basic hygiene services,2022,69,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of health care facilities with basic hygiene services,2000,100,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of health care facilities with basic hygiene services,2001,100,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of health care facilities with basic hygiene services,2002,100,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of health care facilities with basic hygiene services,2003,100,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of health care facilities with basic hygiene services,2004,100,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of health care facilities with basic hygiene services,2005,100,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of health care facilities with basic hygiene services,2006,100,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of health care facilities with basic hygiene services,2007,100,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of health care facilities with basic hygiene services,2008,100,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of health care facilities with basic hygiene services,2009,100,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of health care facilities with basic hygiene services,2010,100,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of health care facilities with basic hygiene services,2011,100,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of health care facilities with basic hygiene services,2012,100,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of health care facilities with basic hygiene services,2013,100,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of health care facilities with basic hygiene services,2014,100,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of health care facilities with basic hygiene services,2015,100,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of health care facilities with basic hygiene services,2016,100,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of health care facilities with basic hygiene services,2017,100,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of health care facilities with basic hygiene services,2018,100,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of health care facilities with basic hygiene services,2019,100,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of health care facilities with basic hygiene services,2020,100,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of health care facilities with basic hygiene services,2021,100,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of health care facilities with basic hygiene services,2022,100,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,Proportion of health care facilities with basic hygiene services,2023,100,Total,,%,,,,Total
Bangladesh,BD,BGD,50,Proportion of health care facilities with basic hygiene services,2013,37.625,Total,,%,,,,Total
Bangladesh,BD,BGD,50,Proportion of health care facilities with basic hygiene services,2014,37.625,Total,,%,,,,Total
Bangladesh,BD,BGD,50,Proportion of health care facilities with basic hygiene services,2015,37.625,Total,,%,,,,Total
Bangladesh,BD,BGD,50,Proportion of health care facilities with basic hygiene services,2016,37.625,Total,,%,,,,Total
Bangladesh,BD,BGD,50,Proportion of health care facilities with basic hygiene services,2017,37.625,Total,,%,,,,Total
Bangladesh,BD,BGD,50,Proportion of health care facilities with basic hygiene services,2018,37.625,Total,,%,,,,Total
Bangladesh,BD,BGD,50,Proportion of health care facilities with basic hygiene services,2019,37.625,Total,,%,,,,Total
Bangladesh,BD,BGD,50,Proportion of health care facilities with basic hygiene services,2020,37.625,Total,,%,,,,Total
Bangladesh,BD,BGD,50,Proportion of health care facilities with basic hygiene services,2021,37.625,Total,,%,,,,Total
Bhutan,BT,BTN,64,Proportion of health care facilities with basic hygiene services,2015,73.39,Total,,%,,,,Total
Bhutan,BT,BTN,64,Proportion of health care facilities with basic hygiene services,2016,73.39,Total,,%,,,,Total
Bhutan,BT,BTN,64,Proportion of health care facilities with basic hygiene services,2017,73.39,Total,,%,,,,Total
Bhutan,BT,BTN,64,Proportion of health care facilities with basic hygiene services,2018,73.39,Total,,%,,,,Total
Bhutan,BT,BTN,64,Proportion of health care facilities with basic hygiene services,2019,73.39,Total,,%,,,,Total
Bhutan,BT,BTN,64,Proportion of health care facilities with basic hygiene services,2020,73.39,Total,,%,,,,Total
Bhutan,BT,BTN,64,Proportion of health care facilities with basic hygiene services,2021,73.39,Total,,%,,,,Total
Bhutan,BT,BTN,64,Proportion of health care facilities with basic hygiene services,2022,73.39,Total,,%,,,,Total
Bhutan,BT,BTN,64,Proportion of health care facilities with basic hygiene services,2023,73.39,Total,,%,,,,Total
Cambodia,KH,KHM,116,Proportion of health care facilities with basic hygiene services,2020,77.1523,Total,,%,,,,Total
Cambodia,KH,KHM,116,Proportion of health care facilities with basic hygiene services,2021,77.1523,Total,,%,,,,Total
Cambodia,KH,KHM,116,Proportion of health care facilities with basic hygiene services,2022,77.1523,Total,,%,,,,Total
Cambodia,KH,KHM,116,Proportion of health care facilities with basic hygiene services,2023,77.1523,Total,,%,,,,Total
China,CN,CHN,156,Proportion of health care facilities with basic hygiene services,2014,35.7,Total,,%,,,,Total
China,CN,CHN,156,Proportion of health care facilities with basic hygiene services,2015,35.7,Total,,%,,,,Total
China,CN,CHN,156,Proportion of health care facilities with basic hygiene services,2016,35.7,Total,,%,,,,Total
China,CN,CHN,156,Proportion of health care facilities with basic hygiene services,2017,35.7,Total,,%,,,,Total
China,CN,CHN,156,Proportion of health care facilities with basic hygiene services,2018,35.7,Total,,%,,,,Total
China,CN,CHN,156,Proportion of health care facilities with basic hygiene services,2019,35.7,Total,,%,,,,Total
China,CN,CHN,156,Proportion of health care facilities with basic hygiene services,2020,35.7,Total,,%,,,,Total
China,CN,CHN,156,Proportion of health care facilities with basic hygiene services,2021,35.7,Total,,%,,,,Total
China,CN,CHN,156,Proportion of health care facilities with basic hygiene services,2022,35.7,Total,,%,,,,Total
Croatia,HR,HRV,191,Proportion of health care facilities with basic hygiene services,2018,95.91836734693877,Total,,%,,,,Total
Croatia,HR,HRV,191,Proportion of health care facilities with basic hygiene services,2019,95.91836734693877,Total,,%,,,,Total
Croatia,HR,HRV,191,Proportion of health care facilities with basic hygiene services,2020,95.91836734693877,Total,,%,,,,Total
Croatia,HR,HRV,191,Proportion of health care facilities with basic hygiene services,2021,95.91836734693877,Total,,%,,,,Total
Croatia,HR,HRV,191,Proportion of health care facilities with basic hygiene services,2022,95.91836734693877,Total,,%,,,,Total
Croatia,HR,HRV,191,Proportion of health care facilities with basic hygiene services,2023,95.91836734693877,Total,,%,,,,Total
Czech Republic,CZ,CZE,203,Proportion of health care facilities with basic hygiene services,2000,100,Total,,%,,,,Total
Czech Republic,CZ,CZE,203,Proportion of health care facilities with basic hygiene services,2001,100,Total,,%,,,,Total
Czech Republic,CZ,CZE,203,Proportion of health care facilities with basic hygiene services,2002,100,Total,,%,,,,Total
Czech Republic,CZ,CZE,203,Proportion of health care facilities with basic hygiene services,2003,100,Total,,%,,,,Total
Czech Republic,CZ,CZE,203,Proportion of health care facilities with basic hygiene services,2004,100,Total,,%,,,,Total
Czech Republic,CZ,CZE,203,Proportion of health care facilities with basic hygiene services,2005,100,Total,,%,,,,Total
Czech Republic,CZ,CZE,203,Proportion of health care facilities with basic hygiene services,2006,100,Total,,%,,,,Total
Czech Republic,CZ,CZE,203,Proportion of health care facilities with basic hygiene services,2007,100,Total,,%,,,,Total
Czech Republic,CZ,CZE,203,Proportion of health care facilities with basic hygiene services,2008,100,Total,,%,,,,Total
Czech Republic,CZ,CZE,203,Proportion of health care facilities with basic hygiene services,2009,100,Total,,%,,,,Total
Czech Republic,CZ,CZE,203,Proportion of health care facilities with basic hygiene services,2010,100,Total,,%,,,,Total
Czech Republic,CZ,CZE,203,Proportion of health care facilities with basic hygiene services,2011,100,Total,,%,,,,Total
Czech Republic,CZ,CZE,203,Proportion of health care facilities with basic hygiene services,2012,100,Total,,%,,,,Total
Czech Republic,CZ,CZE,203,Proportion of health care facilities with basic hygiene services,2013,100,Total,,%,,,,Total
Czech Republic,CZ,CZE,203,Proportion of health care facilities with basic hygiene services,2014,100,Total,,%,,,,Total
Czech Republic,CZ,CZE,203,Proportion of health care facilities with basic hygiene services,2015,100,Total,,%,,,,Total
Czech Republic,CZ,CZE,203,Proportion of health care facilities with basic hygiene services,2016,100,Total,,%,,,,Total
Czech Republic,CZ,CZE,203,Proportion of health care facilities with basic hygiene services,2017,100,Total,,%,,,,Total
Czech Republic,CZ,CZE,203,Proportion of health care facilities with basic hygiene services,2018,100,Total,,%,,,,Total
Czech Republic,CZ,CZE,203,Proportion of health care facilities with basic hygiene services,2019,100,Total,,%,,,,Total
Czech Republic,CZ,CZE,203,Proportion of health care facilities with basic hygiene services,2020,100,Total,,%,,,,Total
Czech Republic,CZ,CZE,203,Proportion of health care facilities with basic hygiene services,2021,100,Total,,%,,,,Total
Czech Republic,CZ,CZE,203,Proportion of health care facilities with basic hygiene services,2022,100,Total,,%,,,,Total
Czech Republic,CZ,CZE,203,Proportion of health care facilities with basic hygiene services,2023,100,Total,,%,,,,Total
Egypt,EG,EGY,818,Proportion of health care facilities with basic hygiene services,2000,1.741766221273792,Total,,%,,,,Total
Egypt,EG,EGY,818,Proportion of health care facilities with basic hygiene services,2001,4.527327706040524,Total,,%,,,,Total
Egypt,EG,EGY,818,Proportion of health care facilities with basic hygiene services,2002,7.312889190807255,Total,,%,,,,Total
Egypt,EG,EGY,818,Proportion of health care facilities with basic hygiene services,2003,9.022249999999998,Total,,%,,,,Total
Egypt,EG,EGY,818,Proportion of health care facilities with basic hygiene services,2004,9.022249999999998,Total,,%,,,,Total
Egypt,EG,EGY,818,Proportion of health care facilities with basic hygiene services,2005,9.022249999999998,Total,,%,,,,Total
Egypt,EG,EGY,818,Proportion of health care facilities with basic hygiene services,2006,9.022249999999998,Total,,%,,,,Total
Egypt,EG,EGY,818,Proportion of health care facilities with basic hygiene services,2007,9.022249999999998,Total,,%,,,,Total
Egypt,EG,EGY,818,Proportion of health care facilities with basic hygiene services,2008,9.022249999999998,Total,,%,,,,Total
Egypt,EG,EGY,818,Proportion of health care facilities with basic hygiene services,2009,9.022249999999998,Total,,%,,,,Total
Egypt,EG,EGY,818,Proportion of health care facilities with basic hygiene services,2010,9.022249999999998,Total,,%,,,,Total
Egypt,EG,EGY,818,Proportion of health care facilities with basic hygiene services,2011,32.38294255370874,Total,,%,,,,Total
Egypt,EG,EGY,818,Proportion of health care facilities with basic hygiene services,2012,35.16850403847548,Total,,%,,,,Total
Egypt,EG,EGY,818,Proportion of health care facilities with basic hygiene services,2013,37.9540655232422,Total,,%,,,,Total
Egypt,EG,EGY,818,Proportion of health care facilities with basic hygiene services,2014,40.73962700800985,Total,,%,,,,Total
Egypt,EG,EGY,818,Proportion of health care facilities with basic hygiene services,2015,43.52518849277658,Total,,%,,,,Total
Egypt,EG,EGY,818,Proportion of health care facilities with basic hygiene services,2016,46.31074997754331,Total,,%,,,,Total
Egypt,EG,EGY,818,Proportion of health care facilities with basic hygiene services,2017,49.09631146231004,Total,,%,,,,Total
Egypt,EG,EGY,818,Proportion of health care facilities with basic hygiene services,2018,51.88187294707677,Total,,%,,,,Total
Egypt,EG,EGY,818,Proportion of health care facilities with basic hygiene services,2019,54.6674344318435,Total,,%,,,,Total
Egypt,EG,EGY,818,Proportion of health care facilities with basic hygiene services,2020,57.45299591661023,Total,,%,,,,Total
Egypt,EG,EGY,818,Proportion of health care facilities with basic hygiene services,2021,60.23855740137697,Total,,%,,,,Total
Egypt,EG,EGY,818,Proportion of health care facilities with basic hygiene services,2022,63.02411888614369,Total,,%,,,,Total
Egypt,EG,EGY,818,Proportion of health care facilities with basic hygiene services,2023,63.02411888614369,Total,,%,,,,Total
Estonia,EE,EST,233,Proportion of health care facilities with basic hygiene services,2000,100,Total,,%,,,,Total
Estonia,EE,EST,233,Proportion of health care facilities with basic hygiene services,2001,100,Total,,%,,,,Total
Estonia,EE,EST,233,Proportion of health care facilities with basic hygiene services,2002,100,Total,,%,,,,Total
Estonia,EE,EST,233,Proportion of health care facilities with basic hygiene services,2003,100,Total,,%,,,,Total
Estonia,EE,EST,233,Proportion of health care facilities with basic hygiene services,2004,100,Total,,%,,,,Total
Estonia,EE,EST,233,Proportion of health care facilities with basic hygiene services,2005,100,Total,,%,,,,Total
Estonia,EE,EST,233,Proportion of health care facilities with basic hygiene services,2006,100,Total,,%,,,,Total
Estonia,EE,EST,233,Proportion of health care facilities with basic hygiene services,2007,100,Total,,%,,,,Total
Estonia,EE,EST,233,Proportion of health care facilities with basic hygiene services,2008,100,Total,,%,,,,Total
Estonia,EE,EST,233,Proportion of health care facilities with basic hygiene services,2009,100,Total,,%,,,,Total
Estonia,EE,EST,233,Proportion of health care facilities with basic hygiene services,2010,100,Total,,%,,,,Total
Estonia,EE,EST,233,Proportion of health care facilities with basic hygiene services,2011,100,Total,,%,,,,Total
Estonia,EE,EST,233,Proportion of health care facilities with basic hygiene services,2012,100,Total,,%,,,,Total
Estonia,EE,EST,233,Proportion of health care facilities with basic hygiene services,2013,100,Total,,%,,,,Total
Estonia,EE,EST,233,Proportion of health care facilities with basic hygiene services,2014,100,Total,,%,,,,Total
Estonia,EE,EST,233,Proportion of health care facilities with basic hygiene services,2015,100,Total,,%,,,,Total
Estonia,EE,EST,233,Proportion of health care facilities with basic hygiene services,2016,100,Total,,%,,,,Total
Estonia,EE,EST,233,Proportion of health care facilities with basic hygiene services,2017,100,Total,,%,,,,Total
Estonia,EE,EST,233,Proportion of health care facilities with basic hygiene services,2018,100,Total,,%,,,,Total
Estonia,EE,EST,233,Proportion of health care facilities with basic hygiene services,2019,100,Total,,%,,,,Total
Estonia,EE,EST,233,Proportion of health care facilities with basic hygiene services,2020,100,Total,,%,,,,Total
Estonia,EE,EST,233,Proportion of health care facilities with basic hygiene services,2021,100,Total,,%,,,,Total
Estonia,EE,EST,233,Proportion of health care facilities with basic hygiene services,2022,100,Total,,%,,,,Total
Estonia,EE,EST,233,Proportion of health care facilities with basic hygiene services,2023,100,Total,,%,,,,Total
Fiji,FJ,FJI,242,Proportion of health care facilities with basic hygiene services,2013,42,Total,,%,,,,Total
Fiji,FJ,FJI,242,Proportion of health care facilities with basic hygiene services,2014,42,Total,,%,,,,Total
Fiji,FJ,FJI,242,Proportion of health care facilities with basic hygiene services,2015,42,Total,,%,,,,Total
Fiji,FJ,FJI,242,Proportion of health care facilities with basic hygiene services,2016,42,Total,,%,,,,Total
Fiji,FJ,FJI,242,Proportion of health care facilities with basic hygiene services,2017,42,Total,,%,,,,Total
Fiji,FJ,FJI,242,Proportion of health care facilities with basic hygiene services,2018,42,Total,,%,,,,Total
Fiji,FJ,FJI,242,Proportion of health care facilities with basic hygiene services,2019,42,Total,,%,,,,Total
Fiji,FJ,FJI,242,Proportion of health care facilities with basic hygiene services,2020,42,Total,,%,,,,Total
Fiji,FJ,FJI,242,Proportion of health care facilities with basic hygiene services,2021,42,Total,,%,,,,Total
Georgia,GE,GEO,268,Proportion of health care facilities with basic hygiene services,2017,80,Total,,%,,,,Total
Georgia,GE,GEO,268,Proportion of health care facilities with basic hygiene services,2018,80,Total,,%,,,,Total
Georgia,GE,GEO,268,Proportion of health care facilities with basic hygiene services,2019,80,Total,,%,,,,Total
Georgia,GE,GEO,268,Proportion of health care facilities with basic hygiene services,2020,80,Total,,%,,,,Total
Georgia,GE,GEO,268,Proportion of health care facilities with basic hygiene services,2021,80,Total,,%,,,,Total
Georgia,GE,GEO,268,Proportion of health care facilities with basic hygiene services,2022,80,Total,,%,,,,Total
Georgia,GE,GEO,268,Proportion of health care facilities with basic hygiene services,2023,80,Total,,%,,,,Total
Ghana,GH,GHA,288,Proportion of health care facilities with basic hygiene services,2012,67.54817428571414,Total,,%,,,,Total
Ghana,GH,GHA,288,Proportion of health care facilities with basic hygiene services,2013,67.54817428571414,Total,,%,,,,Total
Ghana,GH,GHA,288,Proportion of health care facilities with basic hygiene services,2014,67.54817428571414,Total,,%,,,,Total
Ghana,GH,GHA,288,Proportion of health care facilities with basic hygiene services,2015,67.54817428571414,Total,,%,,,,Total
Ghana,GH,GHA,288,Proportion of health care facilities with basic hygiene services,2016,67.54817428571414,Total,,%,,,,Total
Ghana,GH,GHA,288,Proportion of health care facilities with basic hygiene services,2017,66.0604800000001,Total,,%,,,,Total
Ghana,GH,GHA,288,Proportion of health care facilities with basic hygiene services,2018,64.5727857142856,Total,,%,,,,Total
Ghana,GH,GHA,288,Proportion of health care facilities with basic hygiene services,2019,63.08509142857156,Total,,%,,,,Total
Ghana,GH,GHA,288,Proportion of health care facilities with basic hygiene services,2020,61.59739714285706,Total,,%,,,,Total
Ghana,GH,GHA,288,Proportion of health care facilities with basic hygiene services,2021,60.10970285714302,Total,,%,,,,Total
Ghana,GH,GHA,288,Proportion of health care facilities with basic hygiene services,2022,58.62200857142852,Total,,%,,,,Total
Ghana,GH,GHA,288,Proportion of health care facilities with basic hygiene services,2023,57.13431428571403,Total,,%,,,,Total
Guinea-Bissau,GW,GNB,624,Proportion of health care facilities with basic hygiene services,2010,49.1609,Total,,%,,,,Total
Guinea-Bissau,GW,GNB,624,Proportion of health care facilities with basic hygiene services,2011,49.1609,Total,,%,,,,Total
Guinea-Bissau,GW,GNB,624,Proportion of health care facilities with basic hygiene services,2012,49.1609,Total,,%,,,,Total
Guinea-Bissau,GW,GNB,624,Proportion of health care facilities with basic hygiene services,2013,49.1609,Total,,%,,,,Total
Guinea-Bissau,GW,GNB,624,Proportion of health care facilities with basic hygiene services,2014,49.1609,Total,,%,,,,Total
Guinea-Bissau,GW,GNB,624,Proportion of health care facilities with basic hygiene services,2015,49.29769642857127,Total,,%,,,,Total
Guinea-Bissau,GW,GNB,624,Proportion of health care facilities with basic hygiene services,2016,50.34374285714284,Total,,%,,,,Total
Guinea-Bissau,GW,GNB,624,Proportion of health care facilities with basic hygiene services,2017,48.94783571428616,Total,,%,,,,Total
Guinea-Bissau,GW,GNB,624,Proportion of health care facilities with basic hygiene services,2018,46.46481428571497,Total,,%,,,,Total
Guinea-Bissau,GW,GNB,624,Proportion of health care facilities with basic hygiene services,2019,43.98179285714377,Total,,%,,,,Total
Guinea-Bissau,GW,GNB,624,Proportion of health care facilities with basic hygiene services,2020,41.49877142857167,Total,,%,,,,Total
Guinea-Bissau,GW,GNB,624,Proportion of health care facilities with basic hygiene services,2021,39.01575000000048,Total,,%,,,,Total
Guinea-Bissau,GW,GNB,624,Proportion of health care facilities with basic hygiene services,2022,36.53272857142929,Total,,%,,,,Total
Guinea-Bissau,GW,GNB,624,Proportion of health care facilities with basic hygiene services,2023,34.0497071428581,Total,,%,,,,Total
Honduras,HN,HND,340,Proportion of health care facilities with basic hygiene services,2013,30,Total,,%,,,,Total
Honduras,HN,HND,340,Proportion of health care facilities with basic hygiene services,2014,30,Total,,%,,,,Total
Honduras,HN,HND,340,Proportion of health care facilities with basic hygiene services,2015,30,Total,,%,,,,Total
Honduras,HN,HND,340,Proportion of health care facilities with basic hygiene services,2016,30,Total,,%,,,,Total
Honduras,HN,HND,340,Proportion of health care facilities with basic hygiene services,2017,30,Total,,%,,,,Total
Honduras,HN,HND,340,Proportion of health care facilities with basic hygiene services,2018,30,Total,,%,,,,Total
Honduras,HN,HND,340,Proportion of health care facilities with basic hygiene services,2019,30,Total,,%,,,,Total
Honduras,HN,HND,340,Proportion of health care facilities with basic hygiene services,2020,30,Total,,%,,,,Total
Honduras,HN,HND,340,Proportion of health care facilities with basic hygiene services,2021,30,Total,,%,,,,Total
"Iran, Islamic Republic of",IR,IRN,364,Proportion of health care facilities with basic hygiene services,2017,92.9919,Total,,%,,,,Total
"Iran, Islamic Republic of",IR,IRN,364,Proportion of health care facilities with basic hygiene services,2018,92.9919,Total,,%,,,,Total
"Iran, Islamic Republic of",IR,IRN,364,Proportion of health care facilities with basic hygiene services,2019,92.9919,Total,,%,,,,Total
"Iran, Islamic Republic of",IR,IRN,364,Proportion of health care facilities with basic hygiene services,2020,92.9919,Total,,%,,,,Total
"Iran, Islamic Republic of",IR,IRN,364,Proportion of health care facilities with basic hygiene services,2021,92.9919,Total,,%,,,,Total
"Iran, Islamic Republic of",IR,IRN,364,Proportion of health care facilities with basic hygiene services,2022,92.9919,Total,,%,,,,Total
"Iran, Islamic Republic of",IR,IRN,364,Proportion of health care facilities with basic hygiene services,2023,92.9919,Total,,%,,,,Total
Iraq,IQ,IRQ,368,Proportion of health care facilities with basic hygiene services,2017,49.0894,Total,,%,,,,Total
Iraq,IQ,IRQ,368,Proportion of health care facilities with basic hygiene services,2018,49.0894,Total,,%,,,,Total
Iraq,IQ,IRQ,368,Proportion of health care facilities with basic hygiene services,2019,49.0894,Total,,%,,,,Total
Iraq,IQ,IRQ,368,Proportion of health care facilities with basic hygiene services,2020,49.0894,Total,,%,,,,Total
Iraq,IQ,IRQ,368,Proportion of health care facilities with basic hygiene services,2021,49.0894,Total,,%,,,,Total
Iraq,IQ,IRQ,368,Proportion of health care facilities with basic hygiene services,2022,49.0894,Total,,%,,,,Total
Iraq,IQ,IRQ,368,Proportion of health care facilities with basic hygiene services,2023,49.0894,Total,,%,,,,Total
Jordan,JO,JOR,400,Proportion of health care facilities with basic hygiene services,2019,58.7426,Total,,%,,,,Total
Jordan,JO,JOR,400,Proportion of health care facilities with basic hygiene services,2020,58.7426,Total,,%,,,,Total
Jordan,JO,JOR,400,Proportion of health care facilities with basic hygiene services,2021,58.7426,Total,,%,,,,Total
Jordan,JO,JOR,400,Proportion of health care facilities with basic hygiene services,2022,58.7426,Total,,%,,,,Total
Jordan,JO,JOR,400,Proportion of health care facilities with basic hygiene services,2023,58.7426,Total,,%,,,,Total
Kenya,KE,KEN,404,Proportion of health care facilities with basic hygiene services,2012,45.2606,Total,,%,,,,Total
